"","Progeny","Count_Variable","Count_Value","Count","Success_No","Success_Yes"
"1","No","DepResNum",0,30,0.204081632653061,NA
"2","No","DepResNum",0,117,NA,0.795918367346939
"3","No","DepResNum",1,21,0.161538461538462,NA
"4","No","DepResNum",1,109,NA,0.838461538461538
"5","No","DepResNum",2,8,0.133333333333333,NA
"6","No","DepResNum",2,52,NA,0.866666666666667
"7","No","DepResNum",3,2,0.0769230769230769,NA
"8","No","DepResNum",3,24,NA,0.923076923076923
"9","No","DepResNum",4,1,0.142857142857143,NA
"10","No","DepResNum",4,6,NA,0.857142857142857
"11","No","DepResNum",5,3,NA,1
"12","No","DepResNum",6,1,NA,1
"13","No","DepResNum",14,1,NA,1
"14","No","DepResNum",15,1,NA,1
"15","No","DurationSec",2,2,NA,1
"16","No","DurationSec",3,3,NA,1
"17","No","DurationSec",4,3,NA,1
"18","No","DurationSec",5,7,NA,1
"19","No","DurationSec",6,1,0.166666666666667,NA
"20","No","DurationSec",6,5,NA,0.833333333333333
"21","No","DurationSec",7,6,NA,1
"22","No","DurationSec",8,6,NA,1
"23","No","DurationSec",9,5,NA,1
"24","No","DurationSec",10,9,NA,1
"25","No","DurationSec",11,5,NA,1
"26","No","DurationSec",12,4,NA,1
"27","No","DurationSec",13,3,NA,1
"28","No","DurationSec",14,7,NA,1
"29","No","DurationSec",15,11,NA,1
"30","No","DurationSec",16,5,NA,1
"31","No","DurationSec",17,4,NA,1
"32","No","DurationSec",18,2,NA,1
"33","No","DurationSec",19,1,0.166666666666667,NA
"34","No","DurationSec",19,5,NA,0.833333333333333
"35","No","DurationSec",20,1,0.0666666666666667,NA
"36","No","DurationSec",20,14,NA,0.933333333333333
"37","No","DurationSec",21,1,0.2,NA
"38","No","DurationSec",21,4,NA,0.8
"39","No","DurationSec",22,6,NA,1
"40","No","DurationSec",23,5,NA,1
"41","No","DurationSec",24,4,NA,1
"42","No","DurationSec",25,9,NA,1
"43","No","DurationSec",26,6,NA,1
"44","No","DurationSec",27,7,NA,1
"45","No","DurationSec",28,2,NA,1
"46","No","DurationSec",29,2,NA,1
"47","No","DurationSec",30,2,0.222222222222222,NA
"48","No","DurationSec",30,7,NA,0.777777777777778
"49","No","DurationSec",31,2,NA,1
"50","No","DurationSec",32,3,NA,1
"51","No","DurationSec",33,1,0.2,NA
"52","No","DurationSec",33,4,NA,0.8
"53","No","DurationSec",34,1,0.2,NA
"54","No","DurationSec",34,4,NA,0.8
"55","No","DurationSec",35,2,0.4,NA
"56","No","DurationSec",35,3,NA,0.6
"57","No","DurationSec",36,4,NA,1
"58","No","DurationSec",37,3,NA,1
"59","No","DurationSec",38,2,NA,1
"60","No","DurationSec",39,1,0.166666666666667,NA
"61","No","DurationSec",39,5,NA,0.833333333333333
"62","No","DurationSec",40,2,0.5,0.5
"63","No","DurationSec",41,2,NA,1
"64","No","DurationSec",42,1,NA,1
"65","No","DurationSec",43,2,0.333333333333333,NA
"66","No","DurationSec",43,4,NA,0.666666666666667
"67","No","DurationSec",44,6,NA,1
"68","No","DurationSec",45,1,0.2,NA
"69","No","DurationSec",45,4,NA,0.8
"70","No","DurationSec",46,1,NA,1
"71","No","DurationSec",47,2,NA,1
"72","No","DurationSec",48,4,NA,1
"73","No","DurationSec",49,1,1,NA
"74","No","DurationSec",50,1,0.25,NA
"75","No","DurationSec",50,3,NA,0.75
"76","No","DurationSec",51,1,NA,1
"77","No","DurationSec",52,3,NA,1
"78","No","DurationSec",53,1,0.25,NA
"79","No","DurationSec",53,3,NA,0.75
"80","No","DurationSec",54,1,1,NA
"81","No","DurationSec",55,1,0.25,NA
"82","No","DurationSec",55,3,NA,0.75
"83","No","DurationSec",56,1,NA,1
"84","No","DurationSec",57,1,1,NA
"85","No","DurationSec",58,1,NA,1
"86","No","DurationSec",60,5,0.714285714285714,NA
"87","No","DurationSec",60,2,NA,0.285714285714286
"88","No","DurationSec",61,1,0.25,NA
"89","No","DurationSec",61,3,NA,0.75
"90","No","DurationSec",62,2,0.666666666666667,NA
"91","No","DurationSec",62,1,NA,0.333333333333333
"92","No","DurationSec",63,2,NA,1
"93","No","DurationSec",64,2,NA,1
"94","No","DurationSec",65,2,0.666666666666667,NA
"95","No","DurationSec",65,1,NA,0.333333333333333
"96","No","DurationSec",66,2,NA,1
"97","No","DurationSec",67,1,0.333333333333333,NA
"98","No","DurationSec",67,2,NA,0.666666666666667
"99","No","DurationSec",69,1,0.333333333333333,NA
"100","No","DurationSec",69,2,NA,0.666666666666667
"101","No","DurationSec",70,1,NA,1
"102","No","DurationSec",71,3,NA,1
"103","No","DurationSec",72,2,0.666666666666667,NA
"104","No","DurationSec",72,1,NA,0.333333333333333
"105","No","DurationSec",73,1,0.333333333333333,NA
"106","No","DurationSec",73,2,NA,0.666666666666667
"107","No","DurationSec",75,1,0.5,0.5
"108","No","DurationSec",76,2,NA,1
"109","No","DurationSec",78,1,0.5,0.5
"110","No","DurationSec",79,1,0.333333333333333,NA
"111","No","DurationSec",79,2,NA,0.666666666666667
"112","No","DurationSec",80,1,0.333333333333333,NA
"113","No","DurationSec",80,2,NA,0.666666666666667
"114","No","DurationSec",82,1,0.5,0.5
"115","No","DurationSec",83,1,NA,1
"116","No","DurationSec",84,3,NA,1
"117","No","DurationSec",85,2,1,NA
"118","No","DurationSec",86,2,NA,1
"119","No","DurationSec",87,2,1,NA
"120","No","DurationSec",90,1,0.25,NA
"121","No","DurationSec",90,3,NA,0.75
"122","No","DurationSec",91,1,0.5,0.5
"123","No","DurationSec",92,2,NA,1
"124","No","DurationSec",93,1,NA,1
"125","No","DurationSec",94,1,NA,1
"126","No","DurationSec",95,1,NA,1
"127","No","DurationSec",96,1,0.333333333333333,NA
"128","No","DurationSec",96,2,NA,0.666666666666667
"129","No","DurationSec",97,1,0.333333333333333,NA
"130","No","DurationSec",97,2,NA,0.666666666666667
"131","No","DurationSec",98,1,NA,1
"132","No","DurationSec",104,1,NA,1
"133","No","DurationSec",105,1,1,NA
"134","No","DurationSec",106,1,1,NA
"135","No","DurationSec",107,1,1,NA
"136","No","DurationSec",108,1,NA,1
"137","No","DurationSec",109,1,NA,1
"138","No","DurationSec",110,1,NA,1
"139","No","DurationSec",114,1,0.333333333333333,NA
"140","No","DurationSec",114,2,NA,0.666666666666667
"141","No","DurationSec",115,1,NA,1
"142","No","DurationSec",118,1,NA,1
"143","No","DurationSec",120,1,0.333333333333333,NA
"144","No","DurationSec",120,2,NA,0.666666666666667
"145","No","DurationSec",122,1,NA,1
"146","No","DurationSec",123,1,NA,1
"147","No","DurationSec",134,1,NA,1
"148","No","DurationSec",135,2,NA,1
"149","No","DurationSec",136,1,NA,1
"150","No","DurationSec",137,1,NA,1
"151","No","DurationSec",147,1,NA,1
"152","No","DurationSec",148,1,NA,1
"153","No","DurationSec",149,1,NA,1
"154","No","DurationSec",150,1,NA,1
"155","No","DurationSec",158,1,NA,1
"156","No","DurationSec",161,1,1,NA
"157","No","DurationSec",163,1,NA,1
"158","No","DurationSec",165,1,1,NA
"159","No","DurationSec",180,2,1,NA
"160","No","DurationSec",181,1,NA,1
"161","No","DurationSec",185,1,1,NA
"162","No","DurationSec",190,1,NA,1
"163","No","DurationSec",194,1,NA,1
"164","No","DurationSec",220,1,NA,1
"165","No","DurationSec",240,1,NA,1
"166","No","DurationSec",250,1,NA,1
"167","No","DurationSec",255,1,1,NA
"168","No","DurationSec",360,1,NA,1
"169","No","DurationSec",369,1,1,NA
"170","No","DurationSec",390,2,NA,1
"171","No","RecResNum",0,16,0.516129032258065,NA
"172","No","RecResNum",0,15,NA,0.483870967741935
"173","No","RecResNum",1,15,0.16304347826087,NA
"174","No","RecResNum",1,77,NA,0.83695652173913
"175","No","RecResNum",2,9,0.12,NA
"176","No","RecResNum",2,66,NA,0.88
"177","No","RecResNum",3,10,0.178571428571429,NA
"178","No","RecResNum",3,46,NA,0.821428571428571
"179","No","RecResNum",4,6,0.146341463414634,NA
"180","No","RecResNum",4,35,NA,0.853658536585366
"181","No","RecResNum",5,1,0.04,NA
"182","No","RecResNum",5,24,NA,0.96
"183","No","RecResNum",6,2,0.111111111111111,NA
"184","No","RecResNum",6,16,NA,0.888888888888889
"185","No","RecResNum",7,1,0.0625,NA
"186","No","RecResNum",7,15,NA,0.9375
"187","No","RecResNum",8,1,0.142857142857143,NA
"188","No","RecResNum",8,6,NA,0.857142857142857
"189","No","RecResNum",9,6,NA,1
"190","No","RecResNum",10,1,0.2,NA
"191","No","RecResNum",10,4,NA,0.8
"192","No","RecResNum",11,3,NA,1
"193","No","RecResNum",14,1,NA,1
"194","Yes","DepResNum",0,17,0.414634146341463,NA
"195","Yes","DepResNum",0,24,NA,0.585365853658537
"196","Yes","DepResNum",1,13,0.196969696969697,NA
"197","Yes","DepResNum",1,53,NA,0.803030303030303
"198","Yes","DepResNum",2,6,0.115384615384615,NA
"199","Yes","DepResNum",2,46,NA,0.884615384615385
"200","Yes","DepResNum",3,3,0.0882352941176471,NA
"201","Yes","DepResNum",3,31,NA,0.911764705882353
"202","Yes","DepResNum",4,3,0.1875,NA
"203","Yes","DepResNum",4,13,NA,0.8125
"204","Yes","DepResNum",5,1,0.125,NA
"205","Yes","DepResNum",5,7,NA,0.875
"206","Yes","DepResNum",6,6,NA,1
"207","Yes","DurationSec",3,2,NA,1
"208","Yes","DurationSec",5,5,NA,1
"209","Yes","DurationSec",6,1,0.333333333333333,NA
"210","Yes","DurationSec",6,2,NA,0.666666666666667
"211","Yes","DurationSec",7,1,NA,1
"212","Yes","DurationSec",8,2,NA,1
"213","Yes","DurationSec",9,1,NA,1
"214","Yes","DurationSec",10,2,NA,1
"215","Yes","DurationSec",11,5,NA,1
"216","Yes","DurationSec",12,5,NA,1
"217","Yes","DurationSec",13,1,NA,1
"218","Yes","DurationSec",14,2,NA,1
"219","Yes","DurationSec",15,1,0.166666666666667,NA
"220","Yes","DurationSec",15,5,NA,0.833333333333333
"221","Yes","DurationSec",16,2,NA,1
"222","Yes","DurationSec",17,3,NA,1
"223","Yes","DurationSec",18,2,0.4,NA
"224","Yes","DurationSec",18,3,NA,0.6
"225","Yes","DurationSec",20,1,0.25,NA
"226","Yes","DurationSec",20,3,NA,0.75
"227","Yes","DurationSec",21,1,NA,1
"228","Yes","DurationSec",22,5,NA,1
"229","Yes","DurationSec",23,4,NA,1
"230","Yes","DurationSec",24,2,0.4,NA
"231","Yes","DurationSec",24,3,NA,0.6
"232","Yes","DurationSec",25,3,NA,1
"233","Yes","DurationSec",26,3,NA,1
"234","Yes","DurationSec",27,2,NA,1
"235","Yes","DurationSec",28,3,NA,1
"236","Yes","DurationSec",30,3,0.375,NA
"237","Yes","DurationSec",30,5,NA,0.625
"238","Yes","DurationSec",31,1,0.2,NA
"239","Yes","DurationSec",31,4,NA,0.8
"240","Yes","DurationSec",33,1,NA,1
"241","Yes","DurationSec",34,1,0.333333333333333,NA
"242","Yes","DurationSec",34,2,NA,0.666666666666667
"243","Yes","DurationSec",35,6,NA,1
"244","Yes","DurationSec",36,1,NA,1
"245","Yes","DurationSec",37,1,0.5,0.5
"246","Yes","DurationSec",38,2,NA,1
"247","Yes","DurationSec",39,3,NA,1
"248","Yes","DurationSec",40,3,0.6,NA
"249","Yes","DurationSec",40,2,NA,0.4
"250","Yes","DurationSec",41,1,NA,1
"251","Yes","DurationSec",42,7,NA,1
"252","Yes","DurationSec",43,1,NA,1
"253","Yes","DurationSec",44,1,NA,1
"254","Yes","DurationSec",45,1,0.25,NA
"255","Yes","DurationSec",45,3,NA,0.75
"256","Yes","DurationSec",46,1,NA,1
"257","Yes","DurationSec",47,2,0.5,0.5
"258","Yes","DurationSec",48,2,NA,1
"259","Yes","DurationSec",49,3,NA,1
"260","Yes","DurationSec",50,1,1,NA
"261","Yes","DurationSec",51,1,NA,1
"262","Yes","DurationSec",52,1,NA,1
"263","Yes","DurationSec",55,1,NA,1
"264","Yes","DurationSec",57,1,0.5,0.5
"265","Yes","DurationSec",60,2,0.2,NA
"266","Yes","DurationSec",60,8,NA,0.8
"267","Yes","DurationSec",61,1,NA,1
"268","Yes","DurationSec",62,2,1,NA
"269","Yes","DurationSec",63,1,1,NA
"270","Yes","DurationSec",64,1,0.5,0.5
"271","Yes","DurationSec",65,2,0.4,NA
"272","Yes","DurationSec",65,3,NA,0.6
"273","Yes","DurationSec",67,2,NA,1
"274","Yes","DurationSec",68,1,NA,1
"275","Yes","DurationSec",69,1,NA,1
"276","Yes","DurationSec",71,1,NA,1
"277","Yes","DurationSec",72,1,NA,1
"278","Yes","DurationSec",75,2,NA,1
"279","Yes","DurationSec",79,1,0.5,0.5
"280","Yes","DurationSec",80,1,1,NA
"281","Yes","DurationSec",81,2,NA,1
"282","Yes","DurationSec",82,2,NA,1
"283","Yes","DurationSec",83,1,NA,1
"284","Yes","DurationSec",85,2,1,NA
"285","Yes","DurationSec",86,3,NA,1
"286","Yes","DurationSec",87,1,NA,1
"287","Yes","DurationSec",88,1,1,NA
"288","Yes","DurationSec",92,1,NA,1
"289","Yes","DurationSec",95,1,1,NA
"290","Yes","DurationSec",98,2,NA,1
"291","Yes","DurationSec",99,1,NA,1
"292","Yes","DurationSec",100,1,NA,1
"293","Yes","DurationSec",101,1,NA,1
"294","Yes","DurationSec",105,1,NA,1
"295","Yes","DurationSec",107,1,1,NA
"296","Yes","DurationSec",108,1,0.333333333333333,NA
"297","Yes","DurationSec",108,2,NA,0.666666666666667
"298","Yes","DurationSec",112,1,NA,1
"299","Yes","DurationSec",113,1,NA,1
"300","Yes","DurationSec",118,1,NA,1
"301","Yes","DurationSec",120,1,1,NA
"302","Yes","DurationSec",124,1,NA,1
"303","Yes","DurationSec",133,1,1,NA
"304","Yes","DurationSec",139,1,NA,1
"305","Yes","DurationSec",140,1,1,NA
"306","Yes","DurationSec",143,1,NA,1
"307","Yes","DurationSec",145,1,1,NA
"308","Yes","DurationSec",147,1,NA,1
"309","Yes","DurationSec",150,1,NA,1
"310","Yes","DurationSec",164,1,NA,1
"311","Yes","DurationSec",168,1,1,NA
"312","Yes","DurationSec",170,1,NA,1
"313","Yes","DurationSec",173,1,NA,1
"314","Yes","DurationSec",174,1,NA,1
"315","Yes","DurationSec",176,1,NA,1
"316","Yes","DurationSec",180,1,0.5,0.5
"317","Yes","DurationSec",204,1,NA,1
"318","Yes","DurationSec",237,1,NA,1
"319","Yes","DurationSec",242,1,NA,1
"320","Yes","DurationSec",249,1,NA,1
"321","Yes","DurationSec",308,2,NA,1
"322","Yes","RecResNum",0,5,0.625,NA
"323","Yes","RecResNum",0,3,NA,0.375
"324","Yes","RecResNum",1,7,0.5,0.5
"325","Yes","RecResNum",2,9,0.321428571428571,NA
"326","Yes","RecResNum",2,19,NA,0.678571428571429
"327","Yes","RecResNum",3,8,0.181818181818182,NA
"328","Yes","RecResNum",3,36,NA,0.818181818181818
"329","Yes","RecResNum",4,4,0.148148148148148,NA
"330","Yes","RecResNum",4,23,NA,0.851851851851852
"331","Yes","RecResNum",5,4,0.148148148148148,NA
"332","Yes","RecResNum",5,23,NA,0.851851851851852
"333","Yes","RecResNum",6,4,0.181818181818182,NA
"334","Yes","RecResNum",6,18,NA,0.818181818181818
"335","Yes","RecResNum",7,1,0.0526315789473684,NA
"336","Yes","RecResNum",7,18,NA,0.947368421052632
"337","Yes","RecResNum",8,13,NA,1
"338","Yes","RecResNum",9,1,0.111111111111111,NA
"339","Yes","RecResNum",9,8,NA,0.888888888888889
"340","Yes","RecResNum",10,4,NA,1
"341","Yes","RecResNum",11,4,NA,1
"342","Yes","RecResNum",12,2,NA,1
"343","Yes","RecResNum",13,1,NA,1
"344","Yes","RecResNum",20,1,NA,1
